,Review_Title,Rate,Review
0,Pretty good,4,Good Design â˜ºï¸. I Love it'ğŸ¥° picture quality good ğŸ‘ğŸ‘ğŸ‘READ MORE
1,Awesome,5,Good MobileREAD MORE
2,Wonderful,5,Amazing phoneREAD MORE
3,Mind-blowing purchase,5,This product is very nice ğŸ‘ŒREAD MORE
4,Wonderful,5,I can't imagine that I'll get this type of adorable mobile In this range. Look is fantastic and performance is best and camera is upper level.overall I feel too fantastic with this phone.and I'll give 9.99 out of 10. -0.01 for some battery issue I faced today. But it's my first day I'll use it and then I'll edit my review if I feel comfortable also with battery life.And congratulations realme realme Deep work on design.â¤READ MORE
5,Terrific purchase,5,Valueable product ğŸ˜Š Must purchase for needy persons.READ MORE
6,Excellent,5,Very nice mobile and camera qualityREAD MORE
7,Must buy!,5,Value for moneyREAD MORE
8,Super!,5,Super photo and camera â¤ï¸â¤ï¸â¤ï¸READ MORE
9,Worth every penny,5,Wow best price best phoneREAD MORE
